classification,year,period,period_desc,aggregate_level,is_leaf_code,trade_flow_code,trade_flow,reporter_code,reporter,reporter_iso,partner_code,partner,partner_iso,second_partner_code,second_partner,second_partner_iso,customs_proc_code,customs,mode_of_transport_code,mode_of_transport,commodity_code,commodity,qty_unit_code,qty_unit,alt_qty_unit_code,alt_qty_unit,qty,alt_qty,netweight_kg,gross_weight_kg,trade_value_usd,cif_trade_value_usd,fob_trade_value_usd,flag
H1,2000,2000,2000,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,2075342044,NA,NA,0
H1,2000,2000,2000,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,978323003,NA,NA,0
H1,2001,2001,2001,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,46287419,NA,NA,0
H1,2001,2001,2001,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,452583,NA,NA,0
H1,2001,2001,2001,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,414353963,NA,NA,0
H1,2001,2001,2001,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,477108381,NA,NA,0
H1,2001,2001,2001,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,553160500,NA,NA,0
H1,2001,2001,2001,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,79053970,NA,NA,0
H1,2001,2001,2001,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,2418890981,NA,NA,0
H1,2001,2001,2001,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,644462606,NA,NA,0
H2,2002,2002,2002,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,77952942,NA,NA,0
H2,2002,2002,2002,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,136478,NA,NA,0
H2,2002,2002,2002,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,383006837,NA,NA,0
H2,2002,2002,2002,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,457513320,NA,NA,0
H2,2002,2002,2002,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,552573255,NA,NA,0
H2,2002,2002,2002,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,75950182,NA,NA,0
H2,2002,2002,2002,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,2810524541,NA,NA,0
H2,2002,2002,2002,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,728884547,NA,NA,0
H2,2003,2003,2003,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,85452237,NA,NA,0
H2,2003,2003,2003,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,3516840,NA,NA,0
H2,2003,2003,2003,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,398974047,NA,NA,0
H2,2003,2003,2003,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,501728806,NA,NA,0
H2,2003,2003,2003,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,561900453,NA,NA,0
H2,2003,2003,2003,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,106866725,NA,NA,0
H2,2003,2003,2003,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,2944266816,NA,NA,0
H2,2003,2003,2003,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,791018798,NA,NA,0
H2,2004,2004,2004,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,149465481,NA,NA,0
H2,2004,2004,2004,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,19359540,NA,NA,0
H2,2004,2004,2004,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,434906667,NA,NA,0
H2,2004,2004,2004,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,544845640,NA,NA,0
H2,2004,2004,2004,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,637570228,NA,NA,0
H2,2004,2004,2004,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,133351840,NA,NA,0
H2,2004,2004,2004,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,3198855254,NA,NA,0
H2,2004,2004,2004,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,860741126,NA,NA,0
H2,2005,2005,2005,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,752091011,NA,NA,0
H2,2005,2005,2005,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,36676540,NA,NA,0
H2,2005,2005,2005,0,0,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,369125221,NA,NA,0
H2,2005,2005,2005,0,0,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,653001138,NA,NA,0
H2,2005,2005,2005,0,0,1,Import,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,910163471,NA,NA,0
H2,2005,2005,2005,0,0,2,Export,320,Guatemala,GTM,484,Mexico,MEX,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,215842389,NA,NA,0
H2,2005,2005,2005,0,0,1,Import,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,3558260926,NA,NA,0
H2,2005,2005,2005,0,0,2,Export,320,Guatemala,GTM,842,USA,USA,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,2694229471,NA,NA,0
H2,2006,2006,2006,0,0,1,Import,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,453225875,NA,NA,0
H2,2006,2006,2006,0,0,2,Export,320,Guatemala,GTM,156,China,CHN,NA,NA,NA,NA,NA,NA,NA,TOTAL,ALL COMMODITIES,1,No Quantity,NA,NA,NA,NA,NA,NA,29920386,NA,NA,0
